date,sku,stock_eod_qty,oos_flag,verified_available_flag,gross_sales_qty,return_qty,net_sales_qty,demand_baseline_qty,lost_sales_qty,lost_sales_value_est,ps_prijem_qty,ps_prijem_value,ps_unit_cost,lost_purchase_cost_est,lost_profit_est,sp_unit_net_price,sp_discount_share,sp_qty,sp_net_value,method_used,confidence_score,poslato_sum,pristiglo_sum,prvi_verifikovan_dt
2026-01-18,AF-K16,47.0,0,1,0.0,0.0,0.0,0.06617269534720004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,150.0,150.0,2024-06-11
2026-01-19,AF-K16,46.0,0,1,1.0,0.0,1.0,0.25293815627776006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4227.5,1.0,1.0,4227.5,EWMA_FALLBACK,0.2,150.0,150.0,2024-06-11
2026-01-12,AF-MHG,11.0,0,1,1.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,52.0,52.0,2024-06-11
2026-01-13,AF-MHG,11.0,0,1,0.0,0.0,0.0,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,1.0,4450.0,EWMA_FALLBACK,0.2,52.0,52.0,2024-06-11
2026-01-14,AF-MHG,11.0,0,1,0.0,0.0,0.0,0.12800000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,52.0,52.0,2024-06-11
2026-01-15,AF-MHG,11.0,0,1,0.0,0.0,0.0,0.10240000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,52.0,52.0,2024-06-11
2026-01-16,AF-MHG,11.0,0,1,0.0,0.0,0.0,0.08192000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,52.0,52.0,2024-06-11
2026-01-17,AF-MHG,11.0,0,1,0.0,0.0,0.0,0.06553600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,52.0,52.0,2024-06-11
2026-01-18,AF-MHG,11.0,0,1,0.0,0.0,0.0,0.052428800000000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,52.0,52.0,2024-06-11
2026-01-19,AF-MHG,10.0,0,1,1.0,0.0,1.0,0.24194304000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,1.0,4450.0,EWMA_FALLBACK,0.2,52.0,52.0,2024-06-11
2026-01-20,AF-MHG,9.0,0,1,1.0,0.0,1.0,0.39355443200000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,52.0,52.0,2024-06-11
2026-01-12,AF-SMEDPR,47.0,0,1,1.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.0,1.0,1.0,4005.0,EWMA_FALLBACK,0.2,70.0,70.0,2025-08-16
2026-01-13,AF-SMEDPR,47.0,0,1,0.0,0.0,0.0,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,70.0,70.0,2025-08-16
2026-01-14,AF-SMEDPR,46.0,0,1,1.0,0.0,1.0,0.32800000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3916.0,1.0,1.0,3916.0,EWMA_FALLBACK,0.2,70.0,70.0,2025-08-16
2026-01-13,AF-SMO,23.0,0,1,1.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4227.5,1.0,1.0,4227.5,EWMA_FALLBACK,0.2,60.0,60.0,2024-06-11
2026-01-14,AF-SMO,23.0,0,1,0.0,0.0,0.0,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4227.5,0.0,0.0,0.0,EWMA_FALLBACK,0.2,60.0,60.0,2024-06-11
2026-01-15,AF-SMO,23.0,0,1,0.0,0.0,0.0,0.12800000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4227.5,0.0,0.0,0.0,EWMA_FALLBACK,0.2,60.0,60.0,2024-06-11
2026-01-16,AF-SMO,23.0,0,1,0.0,0.0,0.0,0.10240000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4227.5,0.0,0.0,0.0,EWMA_FALLBACK,0.2,60.0,60.0,2024-06-11
2026-01-17,AF-SMO,23.0,0,1,0.0,0.0,0.0,0.08192000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4227.5,0.0,0.0,0.0,EWMA_FALLBACK,0.2,60.0,60.0,2024-06-11
2026-01-18,AF-SMO,23.0,0,1,0.0,0.0,0.0,0.06553600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4227.5,0.0,0.0,0.0,EWMA_FALLBACK,0.2,60.0,60.0,2024-06-11
2026-01-19,AF-SMO,23.0,0,1,0.0,0.0,0.0,0.052428800000000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4227.5,0.0,0.0,0.0,EWMA_FALLBACK,0.2,60.0,60.0,2024-06-11
2026-01-20,AF-SMO,23.0,0,1,0.0,0.0,0.0,0.04194304000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4227.5,0.0,0.0,0.0,EWMA_FALLBACK,0.2,60.0,60.0,2024-06-11
2026-01-21,AF-SMO,23.0,0,1,0.0,0.0,0.0,0.033554432000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4227.5,0.0,0.0,0.0,EWMA_FALLBACK,0.2,60.0,60.0,2024-06-11
2026-01-22,AF-SMO,22.0,0,1,1.0,0.0,1.0,0.22684354560000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4227.5,0.0,0.0,0.0,EWMA_FALLBACK,0.2,60.0,60.0,2024-06-11
