python : import time: self [us] | cumulative | imported package
At line:1 char:1
+ python -X importtime .\SRB1.2-razvoj.py ui 2>&1 | Out-File .\importti ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (import time: se...mported package:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
import time:       266 |       3622 |             pandas.core.internals
import time:       356 |        356 |             pandas.core.internals.construction
import time:       242 |        242 |               pandas.core.methods
import time:       249 |        249 |                 pandas.core.reshape
import time:       432 |        680 |               pandas.core.reshape.concat
import time:       791 |        791 |                   dataclasses
import time:       579 |        579 |                   gzip
import time:        66 |         66 |                   mmap
import time:       188 |        188 |                     pwd
import time:       154 |        154 |                     grp
import time:      1122 |       1464 |                   tarfile
import time:       385 |        385 |                     urllib
import time:      1244 |       1244 |                     ipaddress
import time:      1016 |       2644 |                   urllib.parse
import time:       433 |        433 |                       zipfile._path.glob
import time:       640 |       1073 |                     zipfile._path
import time:       925 |       1997 |                   zipfile
import time:       248 |        248 |                   pandas.core.shared_docs
import time:      1358 |       9144 |                 pandas.io.common
import time:       781 |       9925 |               pandas.io.formats.format
import time:       414 |      11260 |             pandas.core.methods.describe
import time:       236 |        236 |                   pandas._libs.window
import time:       611 |        846 |                 pandas._libs.window.aggregations
import time:       361 |        361 |                   pandas._libs.window.indexers
import time:       496 |        857 |                 pandas.core.indexers.objects
import time:       234 |        234 |                 pandas.core.util.numba_
import time:       236 |        236 |                 pandas.core.window.common
import time:       283 |        283 |                 pandas.core.window.doc
import time:       258 |        258 |                 pandas.core.window.numba_
import time:       240 |        240 |                 pandas.core.window.online
import time:      1415 |       1415 |                 pandas.core.window.rolling
import time:       707 |       5072 |               pandas.core.window.ewm
import time:       875 |        875 |               pandas.core.window.expanding
import time:       268 |       6214 |             pandas.core.window
import time:      3546 |      39771 |           pandas.core.generic
import time:       300 |        300 |           pandas.core.methods.selectn
import time:       216 |        216 |             pandas.core.reshape.util
import time:       244 |        244 |             pandas.core.tools.numeric
import time:       340 |        799 |           pandas.core.reshape.melt
import time:       423 |        423 |             pandas._libs.reshape
import time:       534 |        534 |             pandas.core.indexes.accessors
import time:       255 |        255 |               pandas.arrays
import time:       731 |        985 |             pandas.core.tools.datetimes
import time:       737 |        737 |             pandas.io.formats.info
import time:       950 |        950 |               pandas.plotting._core
import time:       295 |        295 |               pandas.plotting._misc
import time:       269 |       1513 |             pandas.plotting
import time:      2287 |       6476 |           pandas.core.series
import time:      4702 |      52046 |         pandas.core.frame
import time:       808 |        808 |         pandas.core.groupby.base
import time:       961 |        961 |           pandas._libs.groupby
import time:       221 |        221 |             pandas.core.groupby.categorical
import time:       441 |        662 |           pandas.core.groupby.grouper
import time:       547 |       2168 |         pandas.core.groupby.ops
import time:       282 |        282 |           pandas.core.groupby.numba_
import time:       315 |        315 |           pandas.core.groupby.indexing
import time:      1404 |       2001 |         pandas.core.groupby.groupby
import time:      1428 |      60572 |       pandas.core.groupby.generic
import time:       256 |      60827 |     pandas.core.groupby
import time:       298 |     130324 |   pandas.core.api
import time:       229 |        229 |   pandas.tseries.api
import time:       215 |        215 |           pandas.core.computation.common
import time:       276 |        490 |         pandas.core.computation.align
import time:       510 |        510 |             pprint
import time:       447 |        957 |           pandas.core.computation.scope
import time:       400 |       1356 |         pandas.core.computation.ops
import time:       282 |       2128 |       pandas.core.computation.engines
import time:       235 |        235 |         pandas.core.computation.parsing
import time:       898 |       1132 |       pandas.core.computation.expr
import time:       257 |       3516 |     pandas.core.computation.eval
import time:       212 |       3728 |   pandas.core.computation.api
import time:       282 |        282 |     pandas.core.reshape.encoding
import time:       463 |        463 |         _uuid
import time:       586 |       1048 |       uuid
import time:       719 |       1767 |     pandas.core.reshape.merge
import time:       765 |        765 |     pandas.core.reshape.pivot
import time:       298 |        298 |     pandas.core.reshape.tile
import time:       248 |       3359 |   pandas.core.reshape.api
import time:       333 |        333 |     pandas.api.extensions
import time:       231 |        231 |     pandas.api.indexers
import time:       231 |        231 |         pandas.core.interchange
import time:       860 |       1091 |       pandas.core.interchange.dataframe_protocol
import time:       265 |        265 |         pandas.core.interchange.utils
import time:       307 |        571 |       pandas.core.interchange.from_dataframe
import time:       236 |       1897 |     pandas.api.interchange
import time:       231 |        231 |       pandas.core.dtypes.api
import time:       244 |        475 |     pandas.api.types
import time:       946 |        946 |       pandas.core.resample
import time:       304 |        304 |             pandas._libs.json
import time:       274 |        274 |             pandas.io.json._normalize
import time:       267 |        267 |             pandas.io.json._table_schema
import time:       550 |        550 |                   pandas._libs.parsers
import time:       688 |        688 |                     pandas.io.parsers.base_parser
import time:       292 |        980 |                   pandas.io.parsers.arrow_parser_wrapper
import time:       299 |        299 |                   pandas.io.parsers.c_parser_wrapper
import time:       432 |        432 |                   pandas.io.parsers.python_parser
import time:      1500 |       3760 |                 pandas.io.parsers.readers
